Stage	Selectable	Available	FixedMember	Candidates											
11	2	2	2	reina	lucius										
12	2	2	2	reina	lucius										
21	3	3	3	noel	grenev	darkenir									
31	1	1	1	yeong											
41	3	3	3	lucius	karldrich	tien									
51	4	4	4	bianca	grenev	darkenir	sepia								
61	2	2	2	lenien	reina										
71	2	2	2	eren	luvericha										
81	2	2	2	json	triana										
91	2	2	2	arcadia	sepia										
101	3	3	3	karldrich	lucius	curi									
102	4	5	3	karldrich	json	triana	lucius	curi							
111	3	3	3	sepia	noel	arcadia									
121	3	3	3	grenev	bianca	darkenir									
131	4	6	1	kashasty	reina	yeong	eren	luvericha	lenien						
141	5	5	5	curi	lucius	karldrich	json	triana							
151	4	6	1	darkenir	arcadia	noel	bianca	sepia	grenev						
161	6	11	1	luvericha	lucius	curi	json	ratice	kashasty	karldrich	lenien	yeong	eren	reina
171	6	12	1	triana	luvericha	lucius	curi	json	ratice	kashasty	karldrich	lenien	yeong	eren	reina
181	6	12	1	ratice	karldrich	lucius	luvericha	triana	eren	curi	reina	lenien	json	yeong	kashasty
191	4	7	1	eugene	sepia	noel	darkenir	arcadia	grenev	bianca					
201	6	12	0	lucius	reina	luvericha	eren	karldrich	yeong	curi	triana	json	kashasty	ratice	lenien
